Sr No.,School Name,UDISE Code,State,District,Block,Cluster,Village,PIN Code,Address,School Management,School Category,School Type,Classes From–To,Rural/Urban,School Status,LGD Village,LGD Panchayat,LGD Block
169,"Z.P. UPS, AJANI",27090613401,MAHARASHTRA,NAGPUR,RAMTEK, NAGARDHAN ,AJANI,441106,"At. Ajani, Post. Nagardhan Ta. Ramtek, Dist, NAgpur",Local Body,Primary with Upper Primary,3-Co-educational,1–8,Rural,Operational,Ajani,Aajni,Ramtek
170,"Z.P. UPS, CHICHALA",27090613501,MAHARASHTRA,NAGPUR,RAMTEK, NAGARDHAN ,CHICHALA,441106,"At. Post. Chichala, Ta. Ramtek, Dist Nagpur",Local Body,Primary with Upper Primary,3-Co-educational,1–7,Rural,Operational,Chichda(Navin),Chichala,Ramtek
171,"Z.P. PS, CHICHALATOLI",27090613502,MAHARASHTRA,NAGPUR,RAMTEK, NAGARDHAN ,CHICHALA,441106,"Chichalatoli, Post- Nagardhan, Tah- Ramtek, Dist- Nagpur ",Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Chichda(Navin),Chichala,Ramtek
172,"Z.P. PS, HAMLAPURI",27090613601,MAHARASHTRA,NAGPUR,RAMTEK, NAGARDHAN ,HAMALAPURI,441106,AT-Hamlapuri Post-Nagardhan Tah-Ramtek Dis-nagpur,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Hamlapuri,Chichala,Ramtek
173,"Z.P. PS, UDAPUR",27090613701,MAHARASHTRA,NAGPUR,RAMTEK, NAGARDHAN ,UDAPUR,441106,"Udapur, Post- Nagardhan, Tah- Ramtek, Dist- Nagpur",Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Nagardhan,Nagardhan,Ramtek
174,"Z.P. PS, KAWALAPUR",27090613801,MAHARASHTRA,NAGPUR,RAMTEK, NAGARDHAN ,KAWALAPUR,441106,"At Kawalapur, Post. Nagardhan, Ta. Ramtek, Dist Nagpur",Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Kawalapur,Manapur,Ramtek
175,"Z.P. PS, MANAPUR",27090613901,MAHARASHTRA,NAGPUR,RAMTEK, NAGARDHAN ,MANAPUR,441106,At. Manapur Post-Ramtek Tah.-Ramtek Dis.-Nagpur,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Manapur,Manapur,Ramtek
176,"Z.P. PS, BHOJAPUR",27090614001,MAHARASHTRA,NAGPUR,RAMTEK, NAGARDHAN ,BHOJAPUR,441106,"At-Bhojapur, Po-Ramtek, Dist-Nagpur",Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Bhojapur,Manapur,Ramtek
177,"JANAPRABHA INTERNATIONAL, BHOJAPUR",27090614002,MAHARASHTRA,NAGPUR,RAMTEK, NAGARDHAN ,BHOJAPUR,441106,ASTHA NAGARI BHOJAPUR,Private Unaided (Recognized) ,Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1–12,Rural,Operational,Bhojapur,Manapur,Ramtek
178,"Z.P. UPS, HIWARAHIWARI",27090614101,MAHARASHTRA,NAGPUR,RAMTEK, NAGARDHAN ,HIWARAHIWARI,441106,"Hiwrahiwari, Post- Khairibijewada, Tah- Ramtek, dist- Nagpur",Local Body,Primary with Upper Primary,3-Co-educational,1–8,Rural,Operational,Hiwra (Hiwri),Hiwrahiwri,Ramtek
179,"Z.P. PS, KHAIRIBIJEWADA",27090614201,MAHARASHTRA,NAGPUR,RAMTEK,,KHAIRYBIJEWADA,441106,,Local Body,Primary,3-Co-educational,1–5,Rural,Permanently Closed,Khairi,Khairi(Bi),Ramtek
180,MAHATMA JYOTIBA PHULE VIDYALAY KHAIRIBIJEWADA,27090614202,MAHARASHTRA,NAGPUR,RAMTEK, NAGARDHAN ,KHAIRYBIJEWADA,441106,At. khari bijewada ta.ramtek,Other State Govt. Managed,Pr. Up Pr. and Secondary Only,3-Co-educational,5–10,Rural,Operational,Khairi,Khairi(Bi),Ramtek
181,"Z.P. PS, CHARGAON",27090614301,MAHARASHTRA,NAGPUR,RAMTEK, NAGARDHAN ,CHARGAON,441106,"Chargaon, Post. Khairy bijewada, Ta. Ramtek, Dist. Nagpur",Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Chargaon,Khairi(Bi),Ramtek
182,"SUNRISE INTERNATIONAL SCHOOL, CHARGAON",27090614302,MAHARASHTRA,NAGPUR,RAMTEK, NAGARDHAN ,CHARGAON,441106,"Behind Reliance Petrol pump, Chargaon Ramtek",Private Unaided (Recognized) ,Pr. Up Pr. and Secondary Only,3-Co-educational,1–10,Rural,Operational,Chargaon,Khairi(Bi),Ramtek
183,"Z.P. PS, SHITALWADI",27090614401,MAHARASHTRA,NAGPUR,RAMTEK, NAGARDHAN ,SITALWADI,441106,Shitalwadi post. k. k. nagar Ta.Ramtek Dt.Nagpur 441106,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Sitalwadi,Shitalwadi,Ramtek
184,DNYANDEEP CONVENT SCH SITALWADI,27090614402,MAHARASHTRA,NAGPUR,RAMTEK, NAGARDHAN ,SITALWADI,441106,kknagarShitalwadiRamtek ,Private Unaided (Recognized) ,Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1–12,Rural,Operational,Sitalwadi,Shitalwadi,Ramtek
185,"SANT GAJANAN MAHARAJ ENG. PRIMARY SCHOOL, BHOJAPUR",27090614404,MAHARASHTRA,NAGPUR,RAMTEK,,SITALWADI,,,Not Available,Pr. Up Pr. and Secondary Only,3-Co-educational,1–10,Rural,Permanently Closed,Sitalwadi,Shitalwadi,Ramtek
186,"SHRI SANT GADGE MAHARAJ MUK BADHIR NIWASI VIDYALAY RAMTEK, SHITALWADI",27090614405,MAHARASHTRA,NAGPUR,RAMTEK, NAGARDHAN ,SITALWADI,441106,"Shitalwadi, Near Gawalan nala, Ramtek Dist- Nagpur. pin code- 441106",Other State Govt. Managed,Primary with Upper Primary,3-Co-educational,1–8,Rural,Operational,Sitalwadi,Shitalwadi,Ramtek
187,"SNEHASADAN MATIMAND MULA MULINCHI VISHESH ANIWASI SCHOOL, SHITALWADI",27090614406,MAHARASHTRA,NAGPUR,RAMTEK, NAGARDHAN ,SITALWADI,441106,Aadarsh Colony Post. K.K.Nagar Shitalwadi,Other State Govt. Managed,Primary,3-Co-educational,1–5,Rural,Operational,Sitalwadi,Shitalwadi,Ramtek
188,"EKLAVYA MODEL RESIDENTIAL SCHOOL, KHAIRI-PARSODA",27090614501,MAHARASHTRA,NAGPUR,RAMTEK, NAGARDHAN ,PARSODA,441106,AT. KHAIRI-PARSODA TA. RAMTEK DIST. NAGPUR,Tribal Welfare Department,Up. Pr. Secondary and Higher Sec,3-Co-educational,6–12,Rural,Operational,Parsoda,Shitalwadi,Ramtek
189,"SHRIRAM UCCHA PRATHMIK SHALA, WAHITOLA",27090614502,MAHARASHTRA,NAGPUR,RAMTEK, NAGARDHAN ,PARSODA,441106,"wahitola post. khairi, t-ramtek , dist-nagpur",Other State Govt. Managed,Primary with Upper Primary,3-Co-educational,1–7,Rural,Operational,Nagardhan,Nagardhan,Ramtek
190,"SAI INTERNATIONAL SCHOOL, PARSODA",27090614503,MAHARASHTRA,NAGPUR,RAMTEK, NAGARDHAN ,PARSODA,441106,"Anandrao Deshmukh Nagar, Choriya Layout Parsoda Ramtek Dist Nagpur",Private Unaided (Recognized) ,Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1–12,Rural,Operational,Parsoda,Shitalwadi,Ramtek
191,"Z.P. PS, BIJEWADA",27090614601,MAHARASHTRA,NAGPUR,RAMTEK, NAGARDHAN ,BIJEWADA,441106,"At. Bijewada, Post, Khairi Bijewada, Ta. Ramtek, Dist, Nagpur",Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Bijewada,Khairi(Bi),Ramtek
192,"Z.P. PS,  MANSAR(MINE)",27090614701,MAHARASHTRA,NAGPUR,RAMTEK, NAGARDHAN ,MANSAR MINE,441106,"Mansar Mine , Tah- Ramtek, Dist- Nagpur",Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Mansar,Mansar,Ramtek
193,"LATE.S.KIMMATKAR N.P. PS,RAMTEK",27090614801,MAHARASHTRA,NAGPUR,RAMTEK,"LATE.M.SANGODE N.P. PS,RAMTEK ",RAMTEK CITY,441106,SHASHTRI WARD RAMTEK DIST- NAGPUR PIN- 441106,Local Body,Primary,3-Co-educational,1–4,Urban,Operational,,,
194,"LATE V.HATWAR N.P. PS,RAMTEK",27090614803,MAHARASHTRA,NAGPUR,RAMTEK,"LATE.M.SANGODE N.P. PS,RAMTEK ",RAMTEK CITY,441106,"JAYPRAKASH WARD RAMTEK, DIST- NAGPUR, PIN- 441106",Local Body,Primary with Upper Primary,3-Co-educational,1–7,Urban,Operational,,,
195,"LATE.J.BARVE N.P. PS,RAMTEK",27090614804,MAHARASHTRA,NAGPUR,RAMTEK,"LATE.M.SANGODE N.P. PS,RAMTEK ",RAMTEK CITY,441106,"Shivaji Ward Ramtek, Dist- Nagpur Pin- 441106",Local Body,Primary,3-Co-educational,1–4,Urban,Operational,,,
196,"LATE.M.SANGODE N.P. PS,RAMTEK",27090614805,MAHARASHTRA,NAGPUR,RAMTEK,"LATE.M.SANGODE N.P. PS,RAMTEK ",RAMTEK CITY,441106,"SUBHAS WARD RAMTEK, DIST- NAGPUR PIN -441106",Local Body,Primary with Upper Primary,3-Co-educational,1–7,Urban,Operational,,,
197,"PM SHRI LATE.R.MATHKAR N.P. PS, RAMTEK",27090614806,MAHARASHTRA,NAGPUR,RAMTEK,"LATE.M.SANGODE N.P. PS,RAMTEK ",RAMTEK CITY,441106,"At-Ambada Ward, Ta-Ramtek, Distt-Nagpur",Local Body,Primary,3-Co-educational,1–4,Urban,Operational,,,
198,"RASHTRIYA ADARSH VIDYALAYA PRATHMIK VIBHAG, RAMTEK",27090614807,MAHARASHTRA,NAGPUR,RAMTEK,"LATE.M.SANGODE N.P. PS,RAMTEK ",RAMTEK CITY,441106,"Rajaji Ward Ramtek Th.Ramtek , Dist.Nagpur",Other State Govt. Managed,Primary,3-Co-educational,1–4,Urban,Operational,,,
199,"SAMARTH PRIMARY SCHOOL, RAMTEK",27090614808,MAHARASHTRA,NAGPUR,RAMTEK,"LATE.M.SANGODE N.P. PS,RAMTEK ",RAMTEK CITY,441106,Aazad Ward Ramtek th ramtek,Other State Govt. Managed,Primary,3-Co-educational,1–4,Urban,Operational,,,
200,"SHRIRAM PS, RAMTEK",27090614809,MAHARASHTRA,NAGPUR,RAMTEK,"LATE.M.SANGODE N.P. PS,RAMTEK ",RAMTEK CITY,441106,Ramaleshwar ward near tahsil office ramtek,Other State Govt. Managed,Primary,3-Co-educational,1–4,Urban,Operational,,,
201,"SAMARTH CONVENT, RAMTEK",27090614810,MAHARASHTRA,NAGPUR,RAMTEK,"LATE.M.SANGODE N.P. PS,RAMTEK ",RAMTEK CITY,441106,AZAD WARD DUDHALA ROAD RAMTEK,Private Unaided (Recognized) ,Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1–12,Urban,Operational,,,
202,"RASHTRIYA ADARSH VIDYALAYA AND JUNIOR COLLEGE (ARTS AND SCIENCE), RAMTEK",27090614811,MAHARASHTRA,NAGPUR,RAMTEK,"LATE.M.SANGODE N.P. PS,RAMTEK ",RAMTEK CITY,441106,Rajaji Ward Near Nagar Parishad Ramtek Tah. Ramtek Dist. Nagpur,Other State Govt. Managed,Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,5–12,Urban,Operational,,,
203,"SHRIRAM VIDYALAYA AND JUNIOR COLLEGE, RAMTEK",27090614812,MAHARASHTRA,NAGPUR,RAMTEK,"LATE.M.SANGODE N.P. PS,RAMTEK ",RAMTEK CITY,441106,Ramaleswar ward Ramtek,Other State Govt. Managed,Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,5–12,Urban,Operational,,,
204,SHRIRAM KANYA VDY RAMTEK,27090614813,MAHARASHTRA,NAGPUR,RAMTEK,"LATE.M.SANGODE N.P. PS,RAMTEK ",RAMTEK CITY,441106,Ramaleshwar ward ramtek,Other State Govt. Managed,Pr. Up Pr. and Secondary Only,2-Girls,5–10,Urban,Operational,,,
205,"SAMARTH HIGH SCHOOL & Jr. COLLEGE, RAMTEK",27090614814,MAHARASHTRA,NAGPUR,RAMTEK,"LATE.M.SANGODE N.P. PS,RAMTEK ",RAMTEK CITY,441106,"Dr.Ambedkar Ward,Ramtek",Other State Govt. Managed,Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,5–12,Urban,Operational,,,
206,"RAMAJI MAHAJAN N.P. VDY,RAMTEK",27090614815,MAHARASHTRA,NAGPUR,RAMTEK,"LATE.M.SANGODE N.P. PS,RAMTEK ",RAMTEK CITY,441106,gandhi ward Mothi gadpayri rod ramtek,Local Body,Pr. Up Pr. and Secondary Only,3-Co-educational,5–10,Urban,Operational,,,
207,"SHRI NARENDRA TIDKE COLLEGE OF ARTS & COMMERCE, RAMTEK",27090614818,MAHARASHTRA,NAGPUR,RAMTEK,"LATE.M.SANGODE N.P. PS,RAMTEK ",RAMTEK CITY,441106,"Ambala Road Ramtek, Ta-Ramtek, Distt-Nagpur",Other State Govt. Managed,Higher Secondary only/Jr. College,3-Co-educational,11–12,Urban,Operational,,,
208,"SNEHASADAN MATIMAND MULAMULINCHI ANIWASI SCHOOL, SHITALWADI",27090614819,MAHARASHTRA,NAGPUR,RAMTEK,,RAMTEK CITY,441106,,Private Unaided (Recognized) ,Primary,3-Co-educational,1–5,Rural,Permanently Closed,Sitalwadi,Shitalwadi,Ramtek
209,"PRATIBHASTHALI GYANODAYA VIDYAPEETH, RAMTEK",27090614820,MAHARASHTRA,NAGPUR,RAMTEK,,RAMTEK CITY,,,Private Unaided (Recognized) ,Pr. Up Pr. and Secondary Only,3-Co-educational,1–10,Rural,Permanently Closed,Sitalwadi,Shitalwadi,Ramtek
210,"Z.P. PS, MANSARAMTOLA",27090614901,MAHARASHTRA,NAGPUR,RAMTEK,KARWAHI ,MANSARAM TOLA,441401,"MANSARAMTOL TA, RAMTEK DIST.NAGPUR",Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Karwahi,Karwahi,Ramtek
211,"Z.P. PS, RAMTEKDI",27090615001,MAHARASHTRA,NAGPUR,RAMTEK,DEOLAPAR ,RAMTEKDI,441401,"AT-RAMTEKDI, PO- DEOLAPAR,TA-RAMTEK",Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Deolapar,Dewlapar,Ramtek
212,"Z.P. PS, KATHIYATOLA",27090615201,MAHARASHTRA,NAGPUR,RAMTEK,KARWAHI ,KATHIYA TOLA,441401,KATHIYATOLA POST.KARWAHI TA. RAMTEK DIST. NAGPUR,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Karwahi,Karwahi,Ramtek
213,FUTURE POINT SCHOOL NAVEGAON ,27090615301,MAHARASHTRA,NAGPUR,RAMTEK, NAGARDHAN ,NAVEGAON (RITHI),441106,Near B.R.M. Rice Mill Chichala Road Navegaon Rithi Ramtek,Private Unaided (Recognized) ,Primary with Upper Primary,3-Co-educational,1–8,Rural,Operational,Chichda(Navin),Chichala,Ramtek
214,"PRATIBHASTHALI GYANODAYA VIDYAPEETH, RAMTEK",27090616101,MAHARASHTRA,NAGPUR,RAMTEK,MUSEWADI ,KAWADAK,441106,"AT D.PRATIBHASTHALI GYANODAYA VIDYAPEETH SHRI SHANTINATH DIGM.JAIN MANDIR ,RAMTEK ",Private Unaided (Recognized) ,Pr. with Up.Pr. Sec. and H.Sec.,2-Girls,1–12,Rural,Operational,Kawadak,Soneghat,Ramtek
